Cobalt blue ink splash, overlapping layers
Cobalt blue ink splatter, short spatter
Cobalt blue ink drip, with metallic sheen
Cobalt blue ink burst, high-contrast on black
Cobalt blue alcohol ink bloom, with metallic sheen
Cobalt blue ink cloud in water, centered bloom
Cobalt blue Rorschach ink blot, asymmetric scatter
Cobalt blue ink spray graffiti, edge bleeding
Cobalt blue ink mist, radial burst
Cobalt blue ink droplet trail, centered bloom
Cobalt blue ink ring splash, overlapping layers
Cobalt blue ink bloom with salt texture, short spatter
Cobalt blue gradient ink splash, with neon glow
Cobalt blue duotone ink splash, with marbling veins
Cobalt blue metallic ink shimmer, hard-edged splats
Ultramarine blue ink splash, with holographic sparkle
Ultramarine blue ink splatter, with drip gradients
Ultramarine blue ink drip, on glossy surface
Ultramarine blue ink burst, long trails
Ultramarine blue alcohol ink bloom, on white paper grain
Ultramarine blue ink cloud in water, radial burst
Ultramarine blue Rorschach ink blot, with metallic sheen
Ultramarine blue ink spray graffiti, on glossy surface
Ultramarine blue ink mist, asymmetric scatter
Ultramarine blue ink droplet trail, hard-edged splats
Ultramarine blue ink ring splash, centered bloom
Ultramarine blue ink bloom with salt texture, macro droplets
Ultramarine blue gradient ink splash, wide dispersion
Ultramarine blue duotone ink splash, micro mist
Ultramarine blue metallic ink shimmer, diagonal sweep
Royal blue ink splash, on rough watercolor paper
Royal blue ink splatter, with spray halo
Royal blue ink drip, micro mist
Royal blue ink burst, spiral motion
Royal blue alcohol ink bloom, high-contrast on black
Royal blue ink cloud in water, with metallic sheen
Royal blue Rorschach ink blot, with spray halo
Royal blue ink spray graffiti, wide dispersion
Royal blue ink mist, with metallic sheen
Royal blue ink droplet trail, edge bleeding
Royal blue ink ring splash, with marbling veins
Royal blue ink bloom with salt texture, with spray halo
Royal blue gradient ink splash, spiral motion
Royal blue duotone ink splash, radial burst
Royal blue metallic ink shimmer, diagonal sweep
Azure ink splash, with spray halo
Azure ink splatter, with metallic sheen
Azure ink drip, high-contrast on black
Azure ink burst, long trails
Azure alcohol ink bloom, spiral motion
Azure ink cloud in water, feathered edges
Azure Rorschach ink blot, hard-edged splats
Azure ink spray graffiti, symmetric fold
Azure ink mist, with metallic sheen
Azure ink droplet trail, feathered edges
Azure ink ring splash, asymmetric scatter
Azure ink bloom with salt texture, on white paper grain
Azure gradient ink splash, wide dispersion
Azure duotone ink splash, on glossy surface
Azure metallic ink shimmer, on white paper grain
Teal ink splash, macro droplets
Teal ink splatter, with holographic sparkle
Teal ink drip, diagonal sweep
Teal ink burst, on white paper grain
Teal alcohol ink bloom, macro droplets
Teal ink cloud in water, high-contrast on black
Teal Rorschach ink blot, with spray halo
Teal ink spray graffiti, spiral motion
Teal ink mist, edge bleeding
Teal ink droplet trail, on glossy surface
Teal ink ring splash, feathered edges
Teal ink bloom with salt texture, with metallic sheen
Teal gradient ink splash, on glossy surface
Teal duotone ink splash, overlapping layers
Teal metallic ink shimmer, overlapping layers
Turquoise ink splash, on glossy surface
Turquoise ink splatter, edge bleeding
Turquoise ink drip, on white paper grain
Turquoise ink burst, radial burst
Turquoise alcohol ink bloom, with neon glow
Turquoise ink cloud in water, with rainbow fringe
Turquoise Rorschach ink blot, spiral motion
Turquoise ink spray graffiti, micro mist
Turquoise ink mist, with marbling veins
Turquoise ink droplet trail, with metallic sheen
Turquoise ink ring splash, short spatter
Turquoise ink bloom with salt texture, centered bloom
Turquoise gradient ink splash, centered bloom
Turquoise duotone ink splash, with drip gradients
Turquoise metallic ink shimmer, with holographic sparkle
Emerald green ink splash, edge bleeding
Emerald green ink splatter, with metallic sheen
Emerald green ink drip, dense cluster
Emerald green ink burst, symmetric fold
Emerald green alcohol ink bloom, short spatter
Emerald green ink cloud in water, long trails
Emerald green Rorschach ink blot, wide dispersion
Emerald green ink spray graffiti, centered bloom
Emerald green ink mist, centered bloom
Emerald green ink droplet trail, high-contrast on black
Emerald green ink ring splash, on rough watercolor paper
Emerald green ink bloom with salt texture, with marbling veins
Emerald green gradient ink splash, with capillary veins
Emerald green duotone ink splash, high-contrast on black
Emerald green metallic ink shimmer, macro droplets
Lime green ink splash, radial burst
Lime green ink splatter, edge bleeding
Lime green ink drip, with spray halo
Lime green ink burst, with drip gradients
Lime green alcohol ink bloom, feathered edges
Lime green ink cloud in water, diagonal sweep
Lime green Rorschach ink blot, high-contrast on black
Lime green ink spray graffiti, radial burst
Lime green ink mist, long trails
Lime green ink droplet trail, with metallic sheen
Lime green ink ring splash, feathered edges
Lime green ink bloom with salt texture, diagonal sweep
Lime green gradient ink splash, edge bleeding
Lime green duotone ink splash, micro mist
Lime green metallic ink shimmer, with capillary veins
